d_date_id,d_level0_id,Denominator,d_kpi_id,d_level1_id,d_level2_id,d_level3_id,d_level4_id,Numerator
20190101,1,0,17,0,0,0,0,0.2032205561098003
20190101,2,0,17,0,0,0,0,114.39643386548147
20190101,1,0,18,0,0,0,0,3748474.2314191265
20190101,2,0,18,0,0,0,0,1585626494.8757083
20190101,1,0,19,0,0,0,0,96154969.16292433
20190101,2,0,19,0,0,0,0,11902096274.747757
20190201,1,0,17,0,0,0,0,0.21184007372138755
20190201,2,0,17,0,0,0,0,120.52015019519088
20190201,1,0,18,0,0,0,0,3706202.760377747
20190201,2,0,18,0,0,0,0,1597557241.0148053
20190201,1,0,19,0,0,0,0,100247322.93510902
20190201,2,0,19,0,0,0,0,12556127347.217913
20190301,1,0,17,0,0,0,0,0.2259444689199433
20190301,2,0,17,0,0,0,0,135.1038768051408
20190301,1,0,18,0,0,0,0,5785082.430593955
20190301,2,0,18,0,0,0,0,2625337085.4472256
20190301,1,0,19,0,0,0,0,106963622.61382896
20190301,2,0,19,0,0,0,0,14072657907.368006
20190401,1,0,17,0,0,0,0,0.22514086129135372
20190401,2,0,17,0,0,0,0,128.78544712332857
20190401,1,0,18,0,0,0,0,10607574.363432258
20190401,2,0,18,0,0,0,0,1885055480.236588
20190401,1,0,19,0,0,0,0,106590152.66725533
20190401,2,0,19,0,0,0,0,13410326758.797592
20190501,1,0,17,0,0,0,0,0.23803841502444026
20190501,2,0,17,0,0,0,0,134.31310668786503
20190501,1,0,18,0,0,0,0,11344273.670652408
20190501,2,0,18,0,0,0,0,2459522840.5384965
20190501,1,0,19,0,0,0,0,112783443.41487889
20190501,2,0,19,0,0,0,0,13988715962.062008
20190601,1,0,17,0,0,0,0,0.23287222945942412
20190601,2,0,17,0,0,0,0,134.8348950519873
20190601,1,0,18,0,0,0,0,9658541.801554527
20190601,2,0,18,0,0,0,0,2414809621.061908
20190601,1,0,19,0,0,0,0,110246661.63314691
20190601,2,0,19,0,0,0,0,14056621038.04108
20190701,1,0,17,0,0,0,0,0.24771877751153143
20190701,2,0,17,0,0,0,0,135.5854353498066
20190701,1,0,18,0,0,0,0,9063512.355214544
20190701,2,0,18,0,0,0,0,2283000559.615951
20190701,1,0,19,0,0,0,0,117347880.45571174
20190701,2,0,19,0,0,0,0,14124241293.707016
20190801,1,0,17,0,0,0,0,0.2388994217665445
20190801,2,0,17,0,0,0,0,130.577504990905
