,d_kpi_id,d_level0_id,d_level1_id,d_level2_id,Period_int,PeriodName,Numerator,Denominator,Grain
0,1,1,1,1,2019-01-01,01/01/2019,5443072.0,4778382,DayName
1,1,1,1,1,2019-01-02,02/01/2019,5218662.0,5115809,DayName
2,1,1,1,1,2019-01-03,03/01/2019,5208972.0,4452139,DayName
3,1,1,1,1,2019-01-04,04/01/2019,4946808.0,4529708,DayName
4,1,1,1,1,2019-01-05,05/01/2019,4976178.0,5145572,DayName
5,1,1,1,1,2019-01-06,06/01/2019,4883510.0,4425715,DayName
6,1,1,1,1,2019-01-07,07/01/2019,4610667.0,4664526,DayName
7,1,1,1,1,2019-02-01,01/02/2019,5340728.0,5211232,DayName
8,1,1,1,1,2019-02-02,02/02/2019,4641857.0,4964861,DayName
9,1,1,1,1,2019-02-03,03/02/2019,5118607.0,5357039,DayName
10,1,1,1,1,2019-02-04,04/02/2019,4793972.0,4407051,DayName
11,1,1,1,1,2019-02-05,05/02/2019,4992098.0,4857393,DayName
12,1,1,1,1,2019-02-06,06/02/2019,4595084.0,5319916,DayName
13,1,1,1,1,2019-02-07,07/02/2019,4322279.0,5021626,DayName
14,1,1,1,1,2019-03-01,01/03/2019,4574977.0,4758724,DayName
15,1,1,1,1,2019-03-02,02/03/2019,4953325.0,4888776,DayName
16,1,1,1,1,2019-03-03,03/03/2019,4560384.0,5698230,DayName
17,1,1,1,1,2019-03-04,04/03/2019,5705563.0,5208985,DayName
18,1,1,1,1,2019-03-05,05/03/2019,4815488.0,5296622,DayName
19,1,1,1,1,2019-03-06,06/03/2019,4709115.0,5101665,DayName
20,1,1,1,1,2019-03-07,07/03/2019,5072767.0,4850181,DayName
21,1,1,1,1,2019-04-01,01/04/2019,5575487.0,5298056,DayName
22,1,1,1,1,2019-04-02,02/04/2019,5062599.0,4622038,DayName
23,1,1,1,1,2019-04-03,03/04/2019,5096086.0,5105194,DayName
24,1,1,1,1,2019-04-04,04/04/2019,5307324.0,4873015,DayName
25,1,1,1,1,2019-04-05,05/04/2019,4610487.0,5321791,DayName
26,1,1,1,1,2019-04-06,06/04/2019,5684568.0,5453912,DayName
27,1,1,1,1,2019-04-07,07/04/2019,4648387.0,4614189,DayName
28,1,1,1,1,2019-05-01,01/05/2019,5433351.0,4889639,DayName
29,1,1,1,1,2019-05-02,02/05/2019,4826090.0,4631890,DayName
30,1,1,1,1,2019-05-03,03/05/2019,4772755.0,4599953,DayName
