,d_kpi_id,d_level0_id,d_level1_id,d_level2_id,Period_int,PeriodName,Numerator,Denominator,Grain
0,1,1,1,1,2019-12-31,2019,415768951.0,418580810,YearName
1,1,1,1,2,2019-12-31,2019,210769165.0,207440637,YearName
2,1,1,1,3,2019-12-31,2019,206549548.0,207518143,YearName
3,1,1,1,4,2019-12-31,2019,207092652.0,212384512,YearName
4,2,1,1,1,2019-12-31,2019,624411087.0,615148042,YearName
5,2,1,1,2,2019-12-31,2019,208017903.0,207608797,YearName
6,2,1,1,3,2019-12-31,2019,211460954.0,210655078,YearName
7,3,1,1,1,2019-12-31,2019,635769849.0,625382010,YearName
8,3,1,1,2,2019-12-31,2019,206207677.0,208093235,YearName
9,3,1,1,3,2019-12-31,2019,211428503.0,209923322,YearName
10,4,1,1,1,2019-12-31,2019,633021144.0,623203325,YearName
11,4,1,1,2,2019-12-31,2019,208213000.0,204589036,YearName
12,4,1,1,3,2019-12-31,2019,211275526.0,209182613,YearName
13,5,1,1,1,2019-12-31,2019,626201289.0,624575673,YearName
14,5,1,1,2,2019-12-31,2019,208869817.0,207668523,YearName
15,5,1,1,3,2019-12-31,2019,206224857.0,204274846,YearName
16,6,1,1,1,2019-12-31,2019,627640588.0,630340795,YearName
17,6,1,1,2,2019-12-31,2019,214368879.0,210755530,YearName
18,6,1,1,3,2019-12-31,2019,207880177.0,208432544,YearName
19,17,1,0,0,2019-12-31,2019,6.261717242488341,0,YearName
20,17,2,0,0,2019-12-31,2019,3360.662414678729,0,YearName
21,18,1,0,0,2019-12-31,2019,195583913.56596673,0,YearName
22,18,2,0,0,2019-12-31,2019,53743831153.640495,0,YearName
23,19,1,0,0,2019-12-31,2019,2964554046.087898,0,YearName
24,19,2,0,0,2019-12-31,2019,350748144067.1682,0,YearName
