d_kpi_id,d_level0_id,d_level1_id,d_level2_id,Period_int,PeriodName,Numerator,Denominator,Grain,Period_int_lp,Numerator_LP,Denominator_LP,KPICode,KPIName,KPIDescription,numerator_id,denominator_id,HigherIs(1=positive),IsCum,Calculation,Notation,d_f_level0_id,LevelName,NameShort,Description,Entitytype,Color,Color2,Color3,Color4,Color5,Extra1,Extra2,Extra3,d_f_level1_id,Level1Name,Level1NameShort,Level1Description,Level1Entitytype,Level1Color,Level1Color2,Level1Color3,Level1Color4,Level1Color5,Level1Extra1,Level1Extra2,Level1Extra3,d_f_level2_id,Level2Name,Level2NameShort,Level2Description,Level2Entitytype,Level2Color,Level2Color2,Level2Color3,Level2Color4,Level2Color5,Level2Extra1,Level2Extra2,Level2Extra3
1,1,1,1,2019-01-01,01/01/2019,5443072.0,4778382,DayName,2019-01-08,,,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-01-02,02/01/2019,5218662.0,5115809,DayName,2019-01-09,,,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-01-03,03/01/2019,5208972.0,4452139,DayName,2019-01-10,,,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-01-04,04/01/2019,4946808.0,4529708,DayName,2019-01-11,,,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-01-05,05/01/2019,4976178.0,5145572,DayName,2019-01-12,,,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-01-06,06/01/2019,4883510.0,4425715,DayName,2019-01-13,,,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-01-07,07/01/2019,4610667.0,4664526,DayName,2019-01-14,,,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-02-01,01/02/2019,5340728.0,5211232,DayName,2019-02-08,,,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-02-02,02/02/2019,4641857.0,4964861,DayName,2019-02-09,,,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-02-03,03/02/2019,5118607.0,5357039,DayName,2019-02-10,,,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-02-04,04/02/2019,4793972.0,4407051,DayName,2019-02-11,,,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
