d_kpi_id,d_level0_id,d_level1_id,d_level2_id,Period_int,PeriodName,Grain,Period_int_lp,Denominator,Numerator,Denominator_LP,Numerator_LP,KPICode,KPIName,KPIDescription,numerator_id,denominator_id,HigherIs(1=positive),IsCum,Calculation,Notation,d_f_level0_id,LevelName,NameShort,Description,Entitytype,Color,Color2,Color3,Color4,Color5,Extra1,Extra2,Extra3,d_f_level1_id,Level1Name,Level1NameShort,Level1Description,Level1Entitytype,Level1Color,Level1Color2,Level1Color3,Level1Color4,Level1Color5,Level1Extra1,Level1Extra2,Level1Extra3,d_f_level2_id,Level2Name,Level2NameShort,Level2Description,Level2Entitytype,Level2Color,Level2Color2,Level2Color3,Level2Color4,Level2Color5,Level2Extra1,Level2Extra2,Level2Extra3
1,1,1,1,2019-01-01,01/01/2019,DayName,2019-01-08,4778382,5443072.0,0.0,0.0,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-01-02,02/01/2019,DayName,2019-01-09,5115809,5218662.0,0.0,0.0,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-01-03,03/01/2019,DayName,2019-01-10,4452139,5208972.0,0.0,0.0,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-01-04,04/01/2019,DayName,2019-01-11,4529708,4946808.0,0.0,0.0,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-01-05,05/01/2019,DayName,2019-01-12,5145572,4976178.0,0.0,0.0,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-01-06,06/01/2019,DayName,2019-01-13,4425715,4883510.0,0.0,0.0,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-01-07,07/01/2019,DayName,2019-01-14,4664526,4610667.0,0.0,0.0,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-01-31,2019 January,MonthName,2019-02-28,33111851,35287869.0,0.0,0.0,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-02-01,01/02/2019,DayName,2019-02-08,5211232,5340728.0,0.0,0.0,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-02-02,02/02/2019,DayName,2019-02-09,4964861,4641857.0,0.0,0.0,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-02-03,03/02/2019,DayName,2019-02-10,5357039,5118607.0,0.0,0.0,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-02-04,04/02/2019,DayName,2019-02-11,4407051,4793972.0,0.0,0.0,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-02-05,05/02/2019,DayName,2019-02-12,4857393,4992098.0,0.0,0.0,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-02-06,06/02/2019,DayName,2019-02-13,5319916,4595084.0,0.0,0.0,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-02-07,07/02/2019,DayName,2019-02-14,5021626,4322279.0,0.0,0.0,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-02-28,2019 February,MonthName,2019-03-28,35139118,33804625.0,33111851.0,35287869.0,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-03-01,01/03/2019,DayName,2019-03-08,4758724,4574977.0,0.0,0.0,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-03-02,02/03/2019,DayName,2019-03-09,4888776,4953325.0,0.0,0.0,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-03-03,03/03/2019,DayName,2019-03-10,5698230,4560384.0,0.0,0.0,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-03-04,04/03/2019,DayName,2019-03-11,5208985,5705563.0,0.0,0.0,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-03-05,05/03/2019,DayName,2019-03-12,5296622,4815488.0,0.0,0.0,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-03-06,06/03/2019,DayName,2019-03-13,5101665,4709115.0,0.0,0.0,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-03-07,07/03/2019,DayName,2019-03-14,4850181,5072767.0,0.0,0.0,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
1,1,1,1,2019-03-31,2019 March,MonthName,2019-04-30,35803183,34391619.0,0.0,0.0,#_SelfStaked,#_SelfStaked,#_SelfStaked,1,0,1,0,1,#,1,BlockchainSpace,BCS,BlockchainSpace,Entire space,#909399,#909399,#909399,#909399,#909399,,,,1,ICON Blockchain,ICX,ICON Blockchain,Blockchain,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,,1,Ibriz,IBR,Ibriz,PREP,#00ced1,#00ced2,#00ced3,#00ced4,#00ced5,,,
