"d_date_id";"full_date";"date_name";"date_name_us";"date_name_eu";"day_of_week";"day_name_of_week";"day_of_month";"day_of_year";"weekday_weekend";"week_of_year";"month_name";"month_of_year";"is_last_day_of_month";"calendar_quarter";"calendar_year";"calendar_year_month";"calendar_year_qtr";"fiscal_month_of_year";"fiscal_quarter";"fiscal_year";"fiscal_year_month";"fiscal_year_qtr"
20100101;"2010-01-01";"2010/01/01";"01/01/2010";"01/01/2010";6;"Friday";1;1;"Weekday";53;"January";1;"N";1;2010;"2010-01";"2010Q1";7;3;2010;"2010-07";"2010Q3"
20100102;"2010-01-02";"2010/01/02";"01/02/2010";"02/01/2010";7;"Saturday";2;2;"Weekend";53;"January";1;"N";1;2010;"2010-01";"2010Q1";7;3;2010;"2010-07";"2010Q3"
20100103;"2010-01-03";"2010/01/03";"01/03/2010";"03/01/2010";1;"Sunday";3;3;"Weekend";53;"January";1;"N";1;2010;"2010-01";"2010Q1";7;3;2010;"2010-07";"2010Q3"
20100104;"2010-01-04";"2010/01/04";"01/04/2010";"04/01/2010";2;"Monday";4;4;"Weekday";1;"January";1;"N";1;2010;"2010-01";"2010Q1";7;3;2010;"2010-07";"2010Q3"
20100105;"2010-01-05";"2010/01/05";"01/05/2010";"05/01/2010";3;"Tuesday";5;5;"Weekday";1;"January";1;"N";1;2010;"2010-01";"2010Q1";7;3;2010;"2010-07";"2010Q3"
20100106;"2010-01-06";"2010/01/06";"01/06/2010";"06/01/2010";4;"Wednesday";6;6;"Weekday";1;"January";1;"N";1;2010;"2010-01";"2010Q1";7;3;2010;"2010-07";"2010Q3"
20100107;"2010-01-07";"2010/01/07";"01/07/2010";"07/01/2010";5;"Thursday";7;7;"Weekday";1;"January";1;"N";1;2010;"2010-01";"2010Q1";7;3;2010;"2010-07";"2010Q3"
20100108;"2010-01-08";"2010/01/08";"01/08/2010";"08/01/2010";6;"Friday";8;8;"Weekday";1;"January";1;"N";1;2010;"2010-01";"2010Q1";7;3;2010;"2010-07";"2010Q3"
20100109;"2010-01-09";"2010/01/09";"01/09/2010";"09/01/2010";7;"Saturday";9;9;"Weekend";1;"January";1;"N";1;2010;"2010-01";"2010Q1";7;3;2010;"2010-07";"2010Q3"
20100110;"2010-01-10";"2010/01/10";"01/10/2010";"10/01/2010";1;"Sunday";10;10;"Weekend";1;"January";1;"N";1;2010;"2010-01";"2010Q1";7;3;2010;"2010-07";"2010Q3"
20100111;"2010-01-11";"2010/01/11";"01/11/2010";"11/01/2010";2;"Monday";11;11;"Weekday";2;"January";1;"N";1;2010;"2010-01";"2010Q1";7;3;2010;"2010-07";"2010Q3"
20100112;"2010-01-12";"2010/01/12";"01/12/2010";"12/01/2010";3;"Tuesday";12;12;"Weekday";2;"January";1;"N";1;2010;"2010-01";"2010Q1";7;3;2010;"2010-07";"2010Q3"
20100113;"2010-01-13";"2010/01/13";"01/13/2010";"13/01/2010";4;"Wednesday";13;13;"Weekday";2;"January";1;"N";1;2010;"2010-01";"2010Q1";7;3;2010;"2010-07";"2010Q3"
20100114;"2010-01-14";"2010/01/14";"01/14/2010";"14/01/2010";5;"Thursday";14;14;"Weekday";2;"January";1;"N";1;2010;"2010-01";"2010Q1";7;3;2010;"2010-07";"2010Q3"
20100115;"2010-01-15";"2010/01/15";"01/15/2010";"15/01/2010";6;"Friday";15;15;"Weekday";2;"January";1;"N";1;2010;"2010-01";"2010Q1";7;3;2010;"2010-07";"2010Q3"
20100116;"2010-01-16";"2010/01/16";"01/16/2010";"16/01/2010";7;"Saturday";16;16;"Weekend";2;"January";1;"N";1;2010;"2010-01";"2010Q1";7;3;2010;"2010-07";"2010Q3"
20100117;"2010-01-17";"2010/01/17";"01/17/2010";"17/01/2010";1;"Sunday";17;17;"Weekend";2;"January";1;"N";1;2010;"2010-01";"2010Q1";7;3;2010;"2010-07";"2010Q3"
20100118;"2010-01-18";"2010/01/18";"01/18/2010";"18/01/2010";2;"Monday";18;18;"Weekday";3;"January";1;"N";1;2010;"2010-01";"2010Q1";7;3;2010;"2010-07";"2010Q3"
20100119;"2010-01-19";"2010/01/19";"01/19/2010";"19/01/2010";3;"Tuesday";19;19;"Weekday";3;"January";1;"N";1;2010;"2010-01";"2010Q1";7;3;2010;"2010-07";"2010Q3"
20100120;"2010-01-20";"2010/01/20";"01/20/2010";"20/01/2010";4;"Wednesday";20;20;"Weekday";3;"January";1;"N";1;2010;"2010-01";"2010Q1";7;3;2010;"2010-07";"2010Q3"
20100121;"2010-01-21";"2010/01/21";"01/21/2010";"21/01/2010";5;"Thursday";21;21;"Weekday";3;"January";1;"N";1;2010;"2010-01";"2010Q1";7;3;2010;"2010-07";"2010Q3"
20100122;"2010-01-22";"2010/01/22";"01/22/2010";"22/01/2010";6;"Friday";22;22;"Weekday";3;"January";1;"N";1;2010;"2010-01";"2010Q1";7;3;2010;"2010-07";"2010Q3"
20100123;"2010-01-23";"2010/01/23";"01/23/2010";"23/01/2010";7;"Saturday";23;23;"Weekend";3;"January";1;"N";1;2010;"2010-01";"2010Q1";7;3;2010;"2010-07";"2010Q3"
20100124;"2010-01-24";"2010/01/24";"01/24/2010";"24/01/2010";1;"Sunday";24;24;"Weekend";3;"January";1;"N";1;2010;"2010-01";"2010Q1";7;3;2010;"2010-07";"2010Q3"
20100125;"2010-01-25";"2010/01/25";"01/25/2010";"25/01/2010";2;"Monday";25;25;"Weekday";4;"January";1;"N";1;2010;"2010-01";"2010Q1";7;3;2010;"2010-07";"2010Q3"
20100126;"2010-01-26";"2010/01/26";"01/26/2010";"26/01/2010";3;"Tuesday";26;26;"Weekday";4;"January";1;"N";1;2010;"2010-01";"2010Q1";7;3;2010;"2010-07";"2010Q3"
20100127;"2010-01-27";"2010/01/27";"01/27/2010";"27/01/2010";4;"Wednesday";27;27;"Weekday";4;"January";1;"N";1;2010;"2010-01";"2010Q1";7;3;2010;"2010-07";"2010Q3"
20100128;"2010-01-28";"2010/01/28";"01/28/2010";"28/01/2010";5;"Thursday";28;28;"Weekday";4;"January";1;"N";1;2010;"2010-01";"2010Q1";7;3;2010;"2010-07";"2010Q3"
20100129;"2010-01-29";"2010/01/29";"01/29/2010";"29/01/2010";6;"Friday";29;29;"Weekday";4;"January";1;"N";1;2010;"2010-01";"2010Q1";7;3;2010;"2010-07";"2010Q3"
20100130;"2010-01-30";"2010/01/30";"01/30/2010";"30/01/2010";7;"Saturday";30;30;"Weekend";4;"January";1;"N";1;2010;"2010-01";"2010Q1";7;3;2010;"2010-07";"2010Q3"
20100131;"2010-01-31";"2010/01/31";"01/31/2010";"31/01/2010";1;"Sunday";31;31;"Weekend";4;"January";1;"Y";1;2010;"2010-01";"2010Q1";7;3;2010;"2010-07";"2010Q3"
20100201;"2010-02-01";"2010/02/01";"02/01/2010";"01/02/2010";2;"Monday";1;32;"Weekday";5;"February";2;"N";1;2010;"2010-02";"2010Q1";8;3;2010;"2010-08";"2010Q3"
20100202;"2010-02-02";"2010/02/02";"02/02/2010";"02/02/2010";3;"Tuesday";2;33;"Weekday";5;"February";2;"N";1;2010;"2010-02";"2010Q1";8;3;2010;"2010-08";"2010Q3"
20100203;"2010-02-03";"2010/02/03";"02/03/2010";"03/02/2010";4;"Wednesday";3;34;"Weekday";5;"February";2;"N";1;2010;"2010-02";"2010Q1";8;3;2010;"2010-08";"2010Q3"
20100204;"2010-02-04";"2010/02/04";"02/04/2010";"04/02/2010";5;"Thursday";4;35;"Weekday";5;"February";2;"N";1;2010;"2010-02";"2010Q1";8;3;2010;"2010-08";"2010Q3"
20100205;"2010-02-05";"2010/02/05";"02/05/2010";"05/02/2010";6;"Friday";5;36;"Weekday";5;"February";2;"N";1;2010;"2010-02";"2010Q1";8;3;2010;"2010-08";"2010Q3"
20100206;"2010-02-06";"2010/02/06";"02/06/2010";"06/02/2010";7;"Saturday";6;37;"Weekend";5;"February";2;"N";1;2010;"2010-02";"2010Q1";8;3;2010;"2010-08";"2010Q3"
20100207;"2010-02-07";"2010/02/07";"02/07/2010";"07/02/2010";1;"Sunday";7;38;"Weekend";5;"February";2;"N";1;2010;"2010-02";"2010Q1";8;3;2010;"2010-08";"2010Q3"
20100208;"2010-02-08";"2010/02/08";"02/08/2010";"08/02/2010";2;"Monday";8;39;"Weekday";6;"February";2;"N";1;2010;"2010-02";"2010Q1";8;3;2010;"2010-08";"2010Q3"
20100209;"2010-02-09";"2010/02/09";"02/09/2010";"09/02/2010";3;"Tuesday";9;40;"Weekday";6;"February";2;"N";1;2010;"2010-02";"2010Q1";8;3;2010;"2010-08";"2010Q3"
20100210;"2010-02-10";"2010/02/10";"02/10/2010";"10/02/2010";4;"Wednesday";10;41;"Weekday";6;"February";2;"N";1;2010;"2010-02";"2010Q1";8;3;2010;"2010-08";"2010Q3"
20100211;"2010-02-11";"2010/02/11";"02/11/2010";"11/02/2010";5;"Thursday";11;42;"Weekday";6;"February";2;"N";1;2010;"2010-02";"2010Q1";8;3;2010;"2010-08";"2010Q3"
20100212;"2010-02-12";"2010/02/12";"02/12/2010";"12/02/2010";6;"Friday";12;43;"Weekday";6;"February";2;"N";1;2010;"2010-02";"2010Q1";8;3;2010;"2010-08";"2010Q3"
20100213;"2010-02-13";"2010/02/13";"02/13/2010";"13/02/2010";7;"Saturday";13;44;"Weekend";6;"February";2;"N";1;2010;"2010-02";"2010Q1";8;3;2010;"2010-08";"2010Q3"
20100214;"2010-02-14";"2010/02/14";"02/14/2010";"14/02/2010";1;"Sunday";14;45;"Weekend";6;"February";2;"N";1;2010;"2010-02";"2010Q1";8;3;2010;"2010-08";"2010Q3"
20100215;"2010-02-15";"2010/02/15";"02/15/2010";"15/02/2010";2;"Monday";15;46;"Weekday";7;"February";2;"N";1;2010;"2010-02";"2010Q1";8;3;2010;"2010-08";"2010Q3"
20100216;"2010-02-16";"2010/02/16";"02/16/2010";"16/02/2010";3;"Tuesday";16;47;"Weekday";7;"February";2;"N";1;2010;"2010-02";"2010Q1";8;3;2010;"2010-08";"2010Q3"
20100217;"2010-02-17";"2010/02/17";"02/17/2010";"17/02/2010";4;"Wednesday";17;48;"Weekday";7;"February";2;"N";1;2010;"2010-02";"2010Q1";8;3;2010;"2010-08";"2010Q3"
20100218;"2010-02-18";"2010/02/18";"02/18/2010";"18/02/2010";5;"Thursday";18;49;"Weekday";7;"February";2;"N";1;2010;"2010-02";"2010Q1";8;3;2010;"2010-08";"2010Q3"
20100219;"2010-02-19";"2010/02/19";"02/19/2010";"19/02/2010";6;"Friday";19;50;"Weekday";7;"February";2;"N";1;2010;"2010-02";"2010Q1";8;3;2010;"2010-08";"2010Q3"
20100220;"2010-02-20";"2010/02/20";"02/20/2010";"20/02/2010";7;"Saturday";20;51;"Weekend";7;"February";2;"N";1;2010;"2010-02";"2010Q1";8;3;2010;"2010-08";"2010Q3"
20100221;"2010-02-21";"2010/02/21";"02/21/2010";"21/02/2010";1;"Sunday";21;52;"Weekend";7;"February";2;"N";1;2010;"2010-02";"2010Q1";8;3;2010;"2010-08";"2010Q3"
20100222;"2010-02-22";"2010/02/22";"02/22/2010";"22/02/2010";2;"Monday";22;53;"Weekday";8;"February";2;"N";1;2010;"2010-02";"2010Q1";8;3;2010;"2010-08";"2010Q3"
20100223;"2010-02-23";"2010/02/23";"02/23/2010";"23/02/2010";3;"Tuesday";23;54;"Weekday";8;"February";2;"N";1;2010;"2010-02";"2010Q1";8;3;2010;"2010-08";"2010Q3"
20100224;"2010-02-24";"2010/02/24";"02/24/2010";"24/02/2010";4;"Wednesday";24;55;"Weekday";8;"February";2;"N";1;2010;"2010-02";"2010Q1";8;3;2010;"2010-08";"2010Q3"
20100225;"2010-02-25";"2010/02/25";"02/25/2010";"25/02/2010";5;"Thursday";25;56;"Weekday";8;"February";2;"N";1;2010;"2010-02";"2010Q1";8;3;2010;"2010-08";"2010Q3"
20100226;"2010-02-26";"2010/02/26";"02/26/2010";"26/02/2010";6;"Friday";26;57;"Weekday";8;"February";2;"N";1;2010;"2010-02";"2010Q1";8;3;2010;"2010-08";"2010Q3"
20100227;"2010-02-27";"2010/02/27";"02/27/2010";"27/02/2010";7;"Saturday";27;58;"Weekend";8;"February";2;"N";1;2010;"2010-02";"2010Q1";8;3;2010;"2010-08";"2010Q3"
20100228;"2010-02-28";"2010/02/28";"02/28/2010";"28/02/2010";1;"Sunday";28;59;"Weekend";8;"February";2;"Y";1;2010;"2010-02";"2010Q1";8;3;2010;"2010-08";"2010Q3"
20100301;"2010-03-01";"2010/03/01";"03/01/2010";"01/03/2010";2;"Monday";1;60;"Weekday";9;"March";3;"N";1;2010;"2010-03";"2010Q1";9;3;2010;"2010-09";"2010Q3"
